No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),借方税額,貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),貸方税額,摘要,仕訳メモ,タグ,MF仕訳タイプ,決算整理仕訳,作成日時,作成者,最終更新日時,最終更新者
19,2026/05/24,会議費,,,PIT 21 CAFE,課税仕入 10%,,1400,127,役員借入,zakk,,,対象外,,1400,0,PIT 21 CAFE利用分,,,,,,,,
20,2026/05/24,外注委託費,印刷費,,株式会社グラフィックネットプリント,課税仕入 10%,,15920,1447,役員借入,zakk,,,対象外,,15920,0,株式会社グラフィックネットプリント利用分,,,,,,,,
21,2026/05/26,会議費,,,PIT 21 CAFE,課税仕入 10%,,5500,500,役員借入,zakk,,,対象外,,5500,0,PIT 21 CAFE利用分,,,,,,,,
22,2026/05/26,通信費,,,日本郵便,課税仕入 10%,,1100,100,役員借入,zakk,,,対象外,,1100,0,日本郵便利用分,,,,,,,,
23,2026/05/26,会議費,,,PIT 21 CAFE,課税仕入 10%,,1480,135,役員借入,zakk,,,対象外,,1480,0,PIT 21 CAFE利用分,,,,,,,,
24,2026/05/26,消耗品,,,ダイソー 金沢古府店,課税仕入 10%,,110,10,役員借入,zakk,,,対象外,,110,0,ダイソー 金沢古府店利用分,,,,,,,,
25,2026/05/28,会議費,,,ワイン食堂 旅する子ブタ 東京駅グランスタ八重洲店,課税仕入 10%,,3223,293,役員借入,zakk,,,対象外,,3223,0,ArchTank 打ち合わせ,,,,,,,,
26,2026/05/28,会議費,,,angolo caffe,課税仕入 10%,,2280,207,役員借入,zakk,,,対象外,,2280,0,angolo caffe利用分,,,,,,,,
27,2026/05/28,交通費,,,東海旅客鉄道株式会社,課税仕入 10%,,1380,125,役員借入,zakk,,,対象外,,1380,0,東海旅客鉄道株式会社利用分,,,,,,,,
28,2026/05/30,会議費,,,わたろう、せとうち。,課税仕入 10%,,1317,120,役員借入,zakk,,,対象外,,1317,0,わたろう、せとうち。利用分,,,,,,,,
29,2026/05/31,新聞図書費,,,松山城,課税仕入 10%,,1040,95,役員借入,zakk,,,対象外,,1040,0,松山城リサーチ,,,,,,,,
30,2026/05/31,新聞図書費,,,坂の上の雲ミュージアム,課税仕入 10%,,1000,91,役員借入,zakk,,,対象外,,1000,0,坂の上の雲ミュージアム利用分,,,,,,,,
31,2026/05/31,消耗品費,,,Mustakivi,課税仕入 10%,,2420,220,役員借入,zakk,,,対象外,,2420,0,Mustakivi　てぬぐい,,,,,,,,
32,2026/05/31,旅費交通費,,,東日本旅客鉄道株式会社,課税仕入 10%,,20650,1877,役員借入,zakk,,,対象外,,20650,0,東日本旅客鉄道株式会社利用分,,,,,,,,
33,2026/06/02,会議費,,,BUNCA CAFE,課税仕入 10%,,1380,125,役員借入,zakk,,,対象外,,1380,0,BUNCA CAFE利用分,,,,,,,,
34,2026/06/03,消耗品費,,,Pessoa Coffee Roasters,課税仕入 10%,,2000,182,役員借入,zakk,,,対象外,,2000,0,Pessoa Coffee Roasters利用分,,,,,,,,
35,2026/06/05,会議費,,,個人間送金,課税仕入 10%,,10500,955,役員借入,zakk,,,対象外,,10500,0,Linnas 建築界隈会食（すーちーたん）,,,,,,,,
36,2026/06/05,印刷費,,,株式会社グラフィックネットワーク,課税仕入 10%,,40490,3681,役員借入,zakk,,,対象外,,40490,0,株式会社グラフィックネットワーク利用分,,,,,,,,
37,2026/06/06,会議費,,,petale,課税仕入 10%,,1180,107,役員借入,zakk,,,対象外,,1180,0,petale利用分,,,,,,,,
38,2026/06/06,会議費,,,Pessoa Coffee Roasters,課税仕入 10%,,5000,455,役員借入,zakk,,,対象外,,5000,0,Pessoa Coffee Roasters利用分,,,,,,,,
39,2026/06/09,消耗品,,,金沢百番街 あん と,課税仕入 10%,,1730,157,役員借入,zakk,,,対象外,,1730,0,KINTSUGI ,,,,,,,,
40,2026/06/10,通信費,,,SUPPLUGINS,課税仕入 10%,,54845,4986,役員借入,zakk,,,対象外,,54845,0,SUPPLUGINS利用分 podium購入,,,,,,,,
41,2026/06/12,会議費,,,PIT 21 CAFE,課税仕入 10%,,580,53,役員借入,zakk,,,対象外,,580,0,PIT 21 CAFE利用分,,,,,,,,
42,2026/06/13,通信費,,,日本郵便株式会社,課税仕入 10%,,480,44,役員借入,zakk,,,対象外,,480,0,日本郵便株式会社利用分,,,,,,,,
